Time,Run,image name,Y position,X position,Y comand position,X comand position,Z comand position,axis_x_position_error,axis_y_position_error,axis_z_position_error, pix_Y,pix_X, pix_R, temp0, temp1, temp2,temp3
2025-05-19-11-15-03,0,132.png,6,0,-49.767479,2.624484,-3.400196,1.2207E-005,-1.46484E-005,    0.0001,1500.0101693370761,2048.061247687591,215.6184628979063,23.77,23.97,23.79,23.85 
2025-05-19-11-15-07,0,133.png,6,1,-48.76787,2.624843,-3.400197,-4.88281E-006,-4.88281E-006,         0,1500.0447698482305,2048.0034688624683,215.6190437457084,23.77,23.94,23.79,23.85 
2025-05-19-11-15-11,0,134.png,6,2,-47.768026,2.624776,-3.400197,-2.44141E-006,-9.76563E-006,    0.0001,1500.0096699175592,2047.997821956983,215.67319007591882,23.77,23.95,23.79,23.86 
2025-05-19-11-15-15,0,135.png,6,3,-46.767734,2.624238,-3.400198,-9.76563E-006,4.88281E-006,    0.0001,1500.0245358783523,2048.093196746074,215.6685254960428,23.77,23.95,23.79,23.86 
2025-05-19-11-15-19,0,136.png,6,4,-45.767678,2.624159,-3.400199,-9.76563E-006,4.88281E-006,    0.0001,1500.0367235297108,2048.0073532993206,215.6953767875254,23.77,23.96,23.79,23.85 
2025-05-19-11-15-23,0,137.png,6,5,-44.768068,2.624516,-3.400199,2.44141E-006,-1.46484E-005,         0,1500.0562868804498,2048.0070594023914,215.6615080650811,23.77,23.96,23.79,23.86 
2025-05-19-11-15-27,0,138.png,6,6,-43.768284,2.624724,-3.4002,1.46484E-005,-4.88281E-006,   -0.0001,1499.9790648952903,2047.9914353544782,215.67382865735075,23.77,23.95,23.8,23.86 
2025-05-19-11-15-31,0,139.png,6,7,-42.768068,2.624399,-3.400201,         0,4.88281E-006,   -0.0001,1499.9509424057492,2048.0242840611536,215.71062706783164,23.77,23.94,23.79,23.86 
2025-05-19-11-15-35,0,140.png,6,8,-41.767977,2.62406,-3.400201,2.44141E-006,9.76563E-006,         0,1500.162607358432,2048.086296507181,215.68707596612128,23.77,23.96,23.79,23.86 
2025-05-19-11-15-39,0,141.png,6,9,-40.768088,2.624083,-3.400202,7.32422E-006,1.46484E-005,         0,1500.1068773078277,2048.0023275507942,215.71098887129122,23.77,23.96,23.79,23.85 
2025-05-19-11-15-43,0,142.png,6,10,-39.76831,2.624237,-3.400203,-4.88281E-006,1.46484E-005,   -0.0001,1499.9728743691057,2047.982664892783,215.71772810645464,23.77,23.94,23.79,23.87 
2025-05-19-11-15-47,0,143.png,6,10,-39.768318,2.624324,-3.400203,-4.88281E-006,         0,         0,1499.8951023302807,2047.9833883782503,215.7181744434784,23.77,23.96,23.8,23.87 
2025-05-19-11-15-51,0,144.png,6,9,-40.768137,2.62414,-3.400202,-7.32422E-006,-9.76563E-006,   -0.0001,1499.9631016552264,2047.981503960618,215.7131126601184,23.77,23.94,23.79,23.87 
2025-05-19-11-15-55,0,145.png,6,8,-41.768,2.624126,-3.400201,9.76563E-006,9.76563E-006,         0,1499.89228755724,2048.0192364418,215.69627414634758,23.77,23.95,23.8,23.87 
2025-05-19-11-15-59,0,146.png,6,7,-42.768124,2.624256,-3.400201,-2.44141E-006,9.76563E-006,         0,1500.0010320989215,2047.921612022818,215.70763599536113,23.77,23.95,23.8,23.87 
2025-05-19-11-16-03,0,147.png,6,6,-43.768339,2.624649,-3.4002,-4.88281E-006,9.76563E-006,         0,1499.8332334403294,2048.0160724018124,215.67612417636374,23.78,23.95,23.8,23.87 
2025-05-19-11-16-07,0,148.png,6,5,-44.768142,2.624642,-3.400199,1.2207E-005,-1.46484E-005,    0.0001,1500.0106603939512,2048.009507988795,215.66444804930373,23.78,23.97,23.79,23.87 
2025-05-19-11-16-11,0,149.png,6,4,-45.767749,2.624295,-3.400199,         0,-4.88281E-006,    0.0001,1499.9570201574752,2048.004411618851,215.70559963918961,23.77,23.97,23.8,23.85 
2025-05-19-11-16-15,0,150.png,6,3,-46.767758,2.624135,-3.400198,-2.44141E-006,4.88281E-006,    0.0001,1499.9163843723425,2047.9905467521075,215.66088409430412,23.78,23.96,23.8,23.86 
2025-05-19-11-16-18,0,151.png,6,2,-47.768034,2.624807,-3.400197,4.88281E-006,9.76563E-006,         0,1500.1266604841196,2047.977065393315,215.6729609830982,23.78,23.97,23.79,23.88 
2025-05-19-11-16-22,0,152.png,6,1,-48.767969,2.624933,-3.400197,-2.44141E-006,-9.76563E-006,         0,1499.87881664744,2048.002469051312,215.6211328226942,23.78,23.95,23.8,23.87 
2025-05-19-11-16-26,0,153.png,6,0,-49.767626,2.624441,-3.400196,1.2207E-005,-9.76563E-006,         0,1500.022963342446,2047.9829559307345,215.61365672300096,23.78,23.97,23.8,23.85 
2025-05-19-11-16-30,0,154.png,7,0,-49.768021,3.624642,-3.400195,9.76563E-006,-9.76563E-006,    0.0001,1499.900819156931,2048.004261494921,215.64561444606994,23.78,23.94,23.8,23.86 
2025-05-19-11-16-34,0,155.png,7,1,-48.768428,3.624891,-3.400196,7.32422E-006,-9.76563E-006,    0.0001,1500.003567936703,2047.9498838988814,215.65200504817577,23.78,23.97,23.8,23.87 
2025-05-19-11-16-38,0,156.png,7,2,-47.768501,3.62487,-3.400197,         0,-4.88281E-006,    0.0001,1499.9646380097245,2048.001285932756,215.67594444873927,23.78,23.96,23.8,23.85 
2025-05-19-11-16-42,0,157.png,7,3,-46.768193,3.62434,-3.400197,         0,-4.88281E-006,         0,1499.9324269396243,2047.9815887210193,215.6718754370838,23.78,23.96,23.8,23.86 
2025-05-19-11-16-46,0,158.png,7,4,-45.768138,3.624124,-3.400198,-4.88281E-006,9.76563E-006,         0,1499.95480020001,2048.025966521325,215.68030386028576,23.78,23.96,23.8,23.85 
2025-05-19-11-16-50,0,159.png,7,5,-44.768641,3.624575,-3.400199,7.32422E-006,-9.76563E-006,         0,1499.9854711832463,2047.934393899483,215.660369997846,23.78,23.95,23.8,23.85 
2025-05-19-11-16-54,0,160.png,7,6,-43.76862,3.624561,-3.400199,-2.44141E-006,-9.76563E-006,         0,1500.0605863781052,2048.071635397573,215.68672960541915,23.78,23.96,23.8,23.87 
2025-05-19-11-16-58,0,161.png,7,7,-42.768528,3.624208,-3.4002,9.76563E-006,9.76563E-006,         0,1500.0280181902976,2047.9508959712498,215.7170812411794,23.78,23.97,23.8,23.86 
2025-05-19-11-17-02,0,162.png,7,8,-41.768314,3.624031,-3.400201,4.88281E-006,4.88281E-006,         0,1500.1023305166298,2048.02045008959,215.71053546130247,23.78,23.97,23.8,23.85 
2025-05-19-11-17-06,0,163.png,7,9,-40.76846,3.623987,-3.400201,2.44141E-006,9.76563E-006,   -0.0001,1500.0827031657523,2048.045693311686,215.7049359088382,23.78,23.96,23.8,23.86 
2025-05-19-11-17-10,0,164.png,7,10,-39.76857,3.6242,-3.400202,-7.32422E-006,9.76563E-006,         0,1500.042957806565,2048.0668496756825,215.71434779243245,23.78,23.96,23.8,23.86 
2025-05-19-11-17-14,0,165.png,7,10,-39.768686,3.624159,-3.400202,-7.32422E-006,         0,   -0.0001,1499.9664443955796,2047.9475404746547,215.7172788271906,23.78,23.96,23.8,23.85 
2025-05-19-11-17-18,0,166.png,7,9,-40.768606,3.623936,-3.400201,2.44141E-006,-9.76563E-006,         0,1500.0365406012404,2047.926293890986,215.6965576446107,23.78,23.96,23.8,23.86 
2025-05-19-11-17-22,0,167.png,7,8,-41.768392,3.623924,-3.400201,4.88281E-006,         0,   -0.0001,1500.0866109141787,2047.9559663446248,215.7081177315278,23.78,23.95,23.8,23.85 
2025-05-19-11-17-26,0,168.png,7,7,-42.768443,3.624187,-3.4002,1.46484E-005,4.88281E-006,         0,1500.1148925284685,2048.1209308490024,215.70854983773674,23.78,23.97,23.8,23.85 
2025-05-19-11-17-30,0,169.png,7,6,-43.768531,3.624685,-3.400199,         0,-9.76563E-006,    0.0001,1499.8755714292945,2048.0482062458873,215.68714772870868,23.78,23.96,23.8,23.86 
2025-05-19-11-17-34,0,170.png,7,5,-44.768618,3.624546,-3.400199,9.76563E-006,-9.76563E-006,         0,1499.9815987189093,2048.0538434706596,215.66426987827296,23.78,23.95,23.8,23.87 
2025-05-19-11-17-38,0,171.png,7,4,-45.76827,3.623951,-3.400198,-7.32422E-006,4.88281E-006,         0,1500.2141197466294,2047.956710649014,215.67303520786763,23.78,23.97,23.8,23.87 
2025-05-19-11-17-42,0,172.png,7,3,-46.768179,3.624177,-3.400197,-1.2207E-005,4.88281E-006,    0.0001,1499.9941554193015,2048.001526999639,215.67701553963894,23.78,23.96,23.8,23.87 
2025-05-19-11-17-46,0,173.png,7,2,-47.768454,3.624659,-3.400197,         0,9.76563E-006,         0,1499.9683939392962,2047.9901374718243,215.67315105431794,23.78,23.98,23.8,23.87 
2025-05-19-11-17-49,0,174.png,7,1,-48.768456,3.624588,-3.400196,-1.46484E-005,4.88281E-006,         0,1500.215658527917,2047.9916519118597,215.65349783916795,23.78,23.95,23.8,23.87 
2025-05-19-11-17-53,0,175.png,7,0,-49.767958,3.624586,-3.400195,-2.44141E-006,4.88281E-006,    0.0001,1499.9327369726702,2048.060079517428,215.64109647661527,23.78,23.97,23.8,23.87 
2025-05-19-11-17-57,0,176.png,8,0,-49.768149,4.624492,-3.400195,4.88281E-006,         0,    0.0001,1499.927201210568,2048.065300473257,215.66490357158173,23.78,23.96,23.8,23.86 
2025-05-19-11-18-01,0,177.png,8,1,-48.768555,4.624857,-3.400195,-9.76563E-006,-4.88281E-006,    0.0001,1499.998874501665,2048.011853112282,215.67908034890502,23.79,23.96,23.8,23.87 
2025-05-19-11-18-05,0,178.png,8,2,-47.768723,4.62483,-3.400196,-1.2207E-005,-9.76563E-006,    0.0001,1500.112720557643,2047.9787129695146,215.72434725029578,23.78,23.97,23.8,23.87 
2025-05-19-11-18-09,0,179.png,8,3,-46.76839,4.624344,-3.400197,-1.46484E-005,         0,   -0.0001,1500.0122517137218,2048.0532632886125,215.70503138309775,23.79,23.97,23.81,23.87 
2025-05-19-11-18-13,0,180.png,8,4,-45.768304,4.624389,-3.400197,-4.88281E-006,-1.46484E-005,         0,1499.859798826533,2048.0508931125473,215.7394331819651,23.78,23.97,23.8,23.88 
2025-05-19-11-18-17,0,181.png,8,5,-44.768718,4.624566,-3.400198,1.46484E-005,-1.46484E-005,    0.0001,1499.9951958377185,2048.0497241184935,215.72746487246894,23.78,23.97,23.81,23.86 
2025-05-19-11-18-21,0,182.png,8,6,-43.768875,4.62473,-3.400199,9.76563E-006,-1.46484E-005,         0,1499.932516583887,2047.9842528698646,215.7276001746699,23.79,23.96,23.81,23.87 
2025-05-19-11-18-25,0,183.png,8,7,-42.768765,4.624357,-3.400199,-2.44141E-006,         0,         0,1499.9124454437997,2047.954013688462,215.72896585401594,23.78,23.97,23.8,23.87 
2025-05-19-11-18-29,0,184.png,8,8,-41.768646,4.624144,-3.4002,1.2207E-005,9.76563E-006,   -0.0001,1499.9089542769655,2047.9121424551547,215.75005397402887,23.78,23.96,23.81,23.86 
2025-05-19-11-18-33,0,185.png,8,9,-40.76874,4.624094,-3.400201,2.44141E-006,9.76563E-006,   -0.0001,1500.0511680011768,2047.9429793061968,215.75157667145288,23.79,23.96,23.81,23.86 
2025-05-19-11-18-37,0,186.png,8,10,-39.768801,4.624194,-3.400201,1.46484E-005,9.76563E-006,         0,1499.9868775705154,2047.9901027725844,215.75129190163267,23.79,23.97,23.81,23.87 
2025-05-19-11-18-41,0,187.png,8,10,-39.7688,4.624323,-3.400201,-7.32422E-006,-1.46484E-005,         0,1499.9433744144394,2047.919150417075,215.7478919854027,23.78,23.96,23.81,23.88 
2025-05-19-11-18-45,0,188.png,8,9,-40.768722,4.624055,-3.400201,1.2207E-005,-1.46484E-005,         0,1499.9720709315136,2048.0117022915256,215.76342405099206,23.79,23.96,23.81,23.87 
2025-05-19-11-18-49,0,189.png,8,8,-41.768589,4.624119,-3.4002,1.2207E-005,-9.76563E-006,         0,1499.8335766888754,2048.009960717797,215.75453373084085,23.79,23.97,23.81,23.87 
2025-05-19-11-18-53,0,190.png,8,7,-42.768622,4.624338,-3.400199,-1.46484E-005,-9.76563E-006,    0.0001,1499.9094704905583,2048.0480132190073,215.72844549222617,23.79,23.96,23.81,23.88 
2025-05-19-11-18-57,0,191.png,8,6,-43.768793,4.624852,-3.400199,-9.76563E-006,-9.76563E-006,    0.0001,1499.8607550844647,2048.040074246382,215.7361285884746,23.79,23.97,23.81,23.88 
2025-05-19-11-19-01,0,192.png,8,5,-44.768837,4.624789,-3.400198,1.46484E-005,-9.76563E-006,    0.0001,1499.9763793449647,2047.969295772467,215.73142835299092,23.79,23.97,23.81,23.87 
2025-05-19-11-19-05,0,193.png,8,4,-45.768355,4.624226,-3.400197,2.44141E-006,9.76563E-006,   -0.0001,1499.8791335540993,2048.049225692844,215.7297429318232,23.79,23.99,23.81,23.87 
2025-05-19-11-19-09,0,194.png,8,3,-46.768314,4.624117,-3.400197,-9.76563E-006,9.76563E-006,         0,1500.2627003145255,2047.957849429863,215.70885112971246,23.79,23.96,23.81,23.87 
2025-05-19-11-19-12,0,195.png,8,2,-47.768619,4.624918,-3.400196,-9.76563E-006,         0,    0.0001,1499.9651678335622,2047.9672361386076,215.72205179605484,23.79,23.96,23.81,23.87 
2025-05-19-11-19-16,0,196.png,8,1,-48.768593,4.625037,-3.400195,2.44141E-006,-9.76563E-006,    0.0001,1499.972270163944,2047.9824202920672,215.67200052070288,23.79,23.98,23.81,23.87 
2025-05-19-11-19-20,0,197.png,8,0,-49.768218,4.624582,-3.400195,-1.46484E-005,-9.76563E-006,    0.0001,1499.8810388433653,2047.9311243007305,215.66144976704197,23.79,23.97,23.81,23.88 
2025-05-19-11-19-24,0,198.png,9,0,-49.768664,5.624519,-3.400194,1.46484E-005,-9.76563E-006,         0,1500.0060048426037,2048.067853507186,215.67260494540898,23.79,23.97,23.81,23.88 
2025-05-19-11-19-28,0,199.png,9,1,-48.768935,5.625018,-3.400195,1.2207E-005,-9.76563E-006,         0,1499.974679523326,2048.031619562339,215.67479580927602,23.79,23.97,23.81,23.89 
2025-05-19-11-19-32,0,200.png,9,2,-47.769093,5.625109,-3.400195,-9.76563E-006,-9.76563E-006,    0.0001,1499.7488155484073,2047.9185369066836,215.7111636581664,23.79,23.99,23.81,23.87 
2025-05-19-11-19-36,0,201.png,9,3,-46.768758,5.624463,-3.400196,-2.44141E-006,-9.76563E-006,    0.0001,1499.9634764180614,2048.0431254026435,215.72019808828955,23.79,23.98,23.81,23.87 
2025-05-19-11-19-40,0,202.png,9,4,-45.768742,5.62439,-3.400197,-2.44141E-006,-9.76563E-006,    0.0001,1499.8168087603435,2048.0214399828574,215.72975455751296,23.79,23.96,23.81,23.88 
2025-05-19-11-19-44,0,203.png,9,5,-44.769104,5.62467,-3.400197,-2.44141E-006,-4.88281E-006,         0,1500.0971460232156,2048.0117391450353,215.77152682929858,23.79,23.97,23.81,23.89 
2025-05-19-11-19-48,0,204.png,9,6,-43.769312,5.624864,-3.400198,-1.2207E-005,-9.76563E-006,         0,1499.9802714123107,2048.0081688107925,215.7206019239087,23.79,23.97,23.81,23.86 
2025-05-19-11-19-52,0,205.png,9,7,-42.769207,5.624293,-3.400199,         0,         0,         0,1500.0773474949106,2047.97409587819,215.75292241118476,23.79,23.97,23.81,23.86 
2025-05-19-11-19-56,0,206.png,9,8,-41.769007,5.62415,-3.400199,-4.88281E-006,4.88281E-006,         0,1500.0603761512364,2048.0242847244526,215.7431336985239,23.79,23.96,23.81,23.88 
2025-05-19-11-20-00,0,207.png,9,9,-40.769155,5.624345,-3.4002,7.32422E-006,1.95313E-005,   -0.0001,1499.9880888938924,2047.9709927856877,215.7570109765212,23.79,23.97,23.81,23.86 
2025-05-19-11-20-04,0,208.png,9,10,-39.769263,5.624381,-3.400201,7.32422E-006,9.76563E-006,         0,1499.9833125425587,2048.0687454681893,215.7614496927573,23.79,23.96,23.81,23.89 
2025-05-19-11-20-08,0,209.png,9,10,-39.76932,5.624332,-3.400201,         0,-9.76563E-006,   -0.0001,1499.9406438192525,2048.0386942254486,215.75807471837413,23.79,23.98,23.81,23.87 
2025-05-19-11-20-12,0,210.png,9,9,-40.769162,5.624304,-3.4002,-4.88281E-006,-9.76563E-006,   -0.0001,1500.032130993424,2048.0317377569013,215.76137647944773,23.79,23.97,23.81,23.87 
2025-05-19-11-20-16,0,211.png,9,8,-41.769098,5.624143,-3.400199,-1.46484E-005,         0,    0.0001,1499.8754833307194,2047.9677616775668,215.74904825707415,23.79,23.96,23.81,23.87 
2025-05-19-11-20-20,0,212.png,9,7,-42.769138,5.62435,-3.400199,-9.76563E-006,1.46484E-005,    0.0001,1499.8871760549596,2048.0137196236956,215.75533566884766,23.79,23.97,23.81,23.87 
2025-05-19-11-20-24,0,213.png,9,6,-43.769347,5.624552,-3.400198,-1.2207E-005,9.76563E-006,         0,1500.1120124894005,2047.9925539883402,215.72075080294042,23.79,23.98,23.81,23.86 
2025-05-19-11-20-28,0,214.png,9,5,-44.769202,5.62473,-3.400197,4.88281E-006,-9.76563E-006,    0.0001,1500.0418320940498,2048.0060567274654,215.7720984118058,23.79,23.97,23.81,23.88 
2025-05-19-11-20-31,0,215.png,9,4,-45.768687,5.624279,-3.400197,-7.32422E-006,         0,         0,1500.0164939573333,2048.092176071614,215.7317593166631,23.79,23.98,23.81,23.85 
2025-05-19-11-20-35,0,216.png,9,3,-46.768628,5.624448,-3.400196,9.76563E-006,4.88281E-006,         0,1499.9012244846977,2047.9614253072748,215.72142080139886,23.79,23.98,23.81,23.86 
2025-05-19-11-20-39,0,217.png,9,2,-47.768993,5.625016,-3.400195,2.44141E-006,9.76563E-006,         0,1499.9467647773422,2048.0010361148593,215.72301895816392,23.79,23.97,23.81,23.87 
2025-05-19-11-20-43,0,218.png,9,1,-48.768925,5.625052,-3.400195,4.88281E-006,4.88281E-006,   -0.0001,1499.9650860551583,2048.0737789084965,215.67297034433528,23.79,23.97,23.81,23.87 
2025-05-19-11-20-47,0,219.png,9,0,-49.768542,5.624676,-3.400194,-7.32422E-006,-4.88281E-006,         0,1499.8962349768278,2048.033268568515,215.6774149713818,23.79,23.97,23.81,23.88 
2025-05-19-11-20-51,0,220.png,10,0,-49.769022,6.624574,-3.400193,2.44141E-006,-1.46484E-005,    0.0001,1500.0525052772985,2047.9785034512884,215.6163535287309,23.79,23.99,23.81,23.87 
2025-05-19-11-20-55,0,221.png,10,1,-48.769414,6.624916,-3.400194,1.2207E-005,-9.76563E-006,    0.0001,1499.9442472391272,2048.0394288625766,215.63643079584426,23.79,23.97,23.81,23.87 
2025-05-19-11-20-59,0,222.png,10,2,-47.769538,6.624944,-3.400195,-1.46484E-005,-4.88281E-006,         0,1500.0009781869276,2048.0301405795417,215.66273462926748,23.79,23.97,23.81,23.88 
2025-05-19-11-21-03,0,223.png,10,3,-46.769151,6.624375,-3.400195,1.95313E-005,-4.88281E-006,         0,1499.9438741928002,2047.9574253243318,215.6853844268014,23.8,23.98,23.81,23.88 
2025-05-19-11-21-07,0,224.png,10,4,-45.769058,6.624359,-3.400196,-9.76563E-006,-1.46484E-005,         0,1499.837546178802,2047.8594618512013,215.68816567856138,23.79,23.97,23.81,23.86 
2025-05-19-11-21-11,0,225.png,10,5,-44.76945,6.624863,-3.400197,1.46484E-005,-9.76563E-006,         0,1500.0052410061053,2048.0058982384367,215.66402629516452,23.79,23.97,23.81,23.87 
2025-05-19-11-21-15,0,226.png,10,6,-43.769547,6.624815,-3.400197,1.95313E-005,-1.46484E-005,    0.0001,1499.928171994032,2048.0621656152516,215.6958238977837,23.79,23.97,23.81,23.87 
2025-05-19-11-21-19,0,227.png,10,7,-42.769457,6.624347,-3.400198,4.88281E-006,-9.76563E-006,         0,1500.1815980597007,2048.0011984713674,215.69044020420222,23.8,23.97,23.81,23.87 
2025-05-19-11-21-23,0,228.png,10,8,-41.769328,6.624328,-3.400199,-2.44141E-006,-4.88281E-006,         0,1499.8304087869965,2048.0650251991465,215.71992620947293,23.8,23.99,23.81,23.87 
2025-05-19-11-21-27,0,229.png,10,9,-40.769446,6.624097,-3.400199,1.46484E-005,9.76563E-006,         0,1500.026213487824,2047.9455505284511,215.72269251447557,23.8,23.97,23.81,23.87 
2025-05-19-11-21-31,0,230.png,10,10,-39.769545,6.62431,-3.4002,1.46484E-005,4.88281E-006,         0,1499.9172929745637,2048.06058530498,215.71672718042626,23.8,23.98,23.81,23.87 
2025-05-19-11-21-35,0,231.png,10,10,-39.769681,6.624162,-3.4002,1.2207E-005,4.88281E-006,         0,1500.1404657030494,2047.9790983126088,215.71742365203443,23.8,23.98,23.81,23.88 
2025-05-19-11-21-39,0,232.png,10,9,-40.769428,6.624241,-3.400199,4.88281E-006,-9.76563E-006,    0.0001,1500.0857319133086,2047.9786189947265,215.7248871744176,23.79,23.96,23.81,23.88 
2025-05-19-11-21-42,0,233.png,10,8,-41.769409,6.624256,-3.400199,2.44141E-006,-9.76563E-006,    0.0001,1499.8041184722256,2048.0106840155668,215.72317404906818,23.8,23.97,23.81,23.87 
2025-05-19-11-21-46,0,234.png,10,7,-42.7696,6.624194,-3.400198,9.76563E-006,4.88281E-006,    0.0001,1500.1321363001591,2047.9340604723827,215.68415653867294,23.8,23.97,23.81,23.85 
2025-05-19-11-21-50,0,235.png,10,6,-43.769718,6.624689,-3.400197,-4.88281E-006,         0,         0,1499.9486343464678,2048.03155337163,215.70166460255837,23.8,23.97,23.81,23.87 
2025-05-19-11-21-54,0,236.png,10,5,-44.769585,6.624617,-3.400197,9.76563E-006,4.88281E-006,         0,1500.000865577719,2048.001473187704,215.66671322337598,23.8,23.99,23.82,23.88 
2025-05-19-11-21-58,0,237.png,10,4,-45.769196,6.624216,-3.400196,         0,         0,    0.0001,1499.845914417142,2048.0940028183377,215.6962097741766,23.8,23.98,23.81,23.88 
2025-05-19-11-22-02,0,238.png,10,3,-46.769155,6.62427,-3.400195,9.76563E-006,4.88281E-006,    0.0001,1499.912022582968,2047.9984595018268,215.68744152923244,23.8,23.96,23.82,23.88 
2025-05-19-11-22-06,0,239.png,10,2,-47.769433,6.624797,-3.400195,2.44141E-006,4.88281E-006,         0,1500.0583819798323,2048.004579896971,215.65584528590475,23.8,23.97,23.81,23.87 
2025-05-19-11-22-10,0,240.png,10,1,-48.769396,6.624914,-3.400194,         0,-4.88281E-006,         0,1500.116262752334,2048.0092802388235,215.64171752203708,23.8,23.96,23.81,23.87 
2025-05-19-11-22-14,0,241.png,10,0,-49.769041,6.624576,-3.400193,7.32422E-006,         0,         0,1499.8849769075957,2047.9920872080586,215.61651429975103,23.8,23.97,23.82,23.87 
