Time,Run,image name,Y position,X position,Y comand position,X comand position,Z comand position,axis_x_position_error,axis_y_position_error,axis_z_position_error, pix_Y,pix_X, pix_R, temp0, temp1, temp2,temp3
2025-05-19-11-08-19,0,30.png,1,8,-41.766197,-2.375956,-3.400205,-2.44141E-006,9.76563E-006,         0,1500.053833457681,2047.942229398242,215.6094329896777,23.74,23.93,23.76,23.83 
2025-05-19-11-08-23,0,31.png,1,9,-40.76619,-2.375951,-3.400205,9.76563E-006,4.88281E-006,         0,1499.8605580998662,2048.0205432002863,215.6247481673453,23.74,23.91,23.76,23.81 
2025-05-19-11-08-27,0,32.png,1,10,-39.766441,-2.375986,-3.400206,2.44141E-006,4.88281E-006,         0,1500.0151049933081,2047.9356349908464,215.61938906110115,23.74,23.93,23.76,23.82 
2025-05-19-11-08-31,0,33.png,1,10,-39.766404,-2.375928,-3.400206,-2.44141E-006,         0,         0,1499.9665213467335,2047.9668228864246,215.61957808193586,23.74,23.92,23.76,23.82 
2025-05-19-11-08-35,0,34.png,1,9,-40.766199,-2.37593,-3.400205,2.44141E-006,         0,         0,1500.0703037811486,2047.9661483667826,215.6303145089785,23.74,23.93,23.76,23.84 
2025-05-19-11-08-39,0,35.png,1,8,-41.766079,-2.375935,-3.400205,1.70898E-005,-4.88281E-006,         0,1500.0206853348884,2048.0239668608374,215.6188393174797,23.75,23.93,23.76,23.81 
2025-05-19-11-08-43,0,36.png,1,7,-42.766134,-2.375953,-3.400204,2.44141E-006,4.88281E-006,         0,1500.1646392824218,2048.0062407375112,215.60498114100793,23.75,23.92,23.76,23.82 
2025-05-19-11-08-47,0,37.png,1,6,-43.766344,-2.375403,-3.400203,1.2207E-005,-4.88281E-006,         0,1499.9075265839067,2047.992957834225,215.6063736942652,23.75,23.94,23.76,23.81 
2025-05-19-11-08-51,0,38.png,1,5,-44.766261,-2.375327,-3.400203,-1.2207E-005,-4.88281E-006,         0,1500.1191399564518,2047.9875596833583,215.5820833032493,23.75,23.92,23.76,23.82 
2025-05-19-11-08-55,0,39.png,1,4,-45.765723,-2.37573,-3.400202,-2.44141E-006,-4.88281E-006,         0,1499.9597432212022,2048.1269891667393,215.5990884974737,23.75,23.92,23.76,23.83 
2025-05-19-11-08-59,0,40.png,1,3,-46.765882,-2.375784,-3.400201,1.2207E-005,         0,         0,1499.9760307317426,2047.8821148057673,215.60196235727426,23.75,23.91,23.76,23.82 
2025-05-19-11-09-03,0,41.png,1,2,-47.766124,-2.375476,-3.400201,2.44141E-006,1.46484E-005,         0,1500.1109642890503,2048.05882117658,215.58829444208348,23.75,23.94,23.76,23.82 
2025-05-19-11-09-06,0,42.png,1,1,-48.766061,-2.375146,-3.4002,-2.44141E-006,-1.46484E-005,         0,1499.9910739341367,2048.0352678650556,215.57838281964482,23.75,23.94,23.76,23.84 
2025-05-19-11-09-10,0,43.png,1,0,-49.765671,-2.375568,-3.400199,4.88281E-006,         0,    0.0001,1500.020983330781,2048.0035856599366,215.5921781967218,23.75,23.93,23.76,23.83 
2025-05-19-11-09-14,0,44.png,2,0,-49.766066,-1.375523,-3.400199,4.88281E-006,-9.76563E-006,    0.0001,1500.118057236372,2047.9793147262603,215.57858951279113,23.75,23.92,23.76,23.83 
2025-05-19-11-09-18,0,45.png,2,1,-48.766485,-1.37508,-3.400199,-9.76563E-006,-1.46484E-005,    0.0001,1500.0025561277598,2048.0041340677326,215.601541855708,23.75,23.93,23.76,23.83 
2025-05-19-11-09-22,0,46.png,2,2,-47.766592,-1.375135,-3.4002,1.2207E-005,-9.76563E-006,    0.0001,1499.9469051137467,2048.088477925148,215.58430885851715,23.75,23.94,23.76,23.82 
2025-05-19-11-09-26,0,47.png,2,3,-46.766275,-1.375734,-3.400201,9.76563E-006,9.76563E-006,         0,1499.9557938429853,2047.9720166754598,215.6241176374561,23.75,23.93,23.76,23.82 
2025-05-19-11-09-30,0,48.png,2,4,-45.766198,-1.375923,-3.400201,1.2207E-005,9.76563E-006,         0,1500.105249831211,2047.9933139805046,215.61131652955078,23.75,23.93,23.76,23.83 
2025-05-19-11-09-34,0,49.png,2,5,-44.766614,-1.375505,-3.400202,1.46484E-005,         0,         0,1500.0351889142057,2048.0182446872823,215.60741104946212,23.75,23.94,23.77,23.83 
2025-05-19-11-09-38,0,50.png,2,6,-43.766784,-1.375277,-3.400203,         0,-9.76563E-006,         0,1499.8628903853323,2047.9542298945753,215.60585626553745,23.75,23.94,23.77,23.83 
